Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,,,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Andaman and Nicobar Islands,India,20-07-2020 19:35,11.66702557,92.73598262,203,0,145,0,,48.67685284,,,0,35601,IND,,
Andhra Pradesh,India,20-07-2020 19:35,15.9104291,79.74700256,49650,642,22890,7,,92.10922956,,,1.29305136,35602,IND,,
Arunachal Pradesh,India,20-07-2020 19:35,27.10039878,93.61660071,740,3,282,0,,47.12001212,,,0.405405405,35603,IND,,
Assam,India,20-07-2020 19:35,26.7499809,94.21666744,23999,57,16023,0,,67.39959478,,,0.237509896,35604,IND,,
Bihar,India,20-07-2020 19:35,25.78541445,87.4799727,11436,132,8688,1,,92.64113759,,,1.154249738,58602,IND,,
Chandigarh,India,20-07-2020 19:35,30.71999697,76.78000565,26569,217,16308,3,,21.28927544,,,0.816741315,35605,IND,,
Chhattisgarh,India,20-07-2020 19:35,22.09042035,82.15998734,7117,12,488,8,,61.89181794,,,1.673640167,35606,IND,,
Dadra and Nagar Haveli and Daman and Diu,India,20-07-2020 19:35,20.26657819,73.0166178,5407,24,3775,0,,18.36852007,,,0.443869059,35607,IND,,
Delhi,India,20-07-2020 19:35,28.6699929,77.23000403,164705,2,414,10,,98.25831054,,,0.330578512,35608,IND,,
Goa,India,20-07-2020 19:35,15.491997,73.81800065,122793,3628,103134,15,,656.2637587,,,2.954565814,35609,IND,,
Gujarat,India,20-07-2020 19:35,23.13,72.41,111849,43,1472,11,,182.4219798,,,2.325581395,58603,IND,,
Haryana,India,20-07-2020 19:35,28.45000633,77.01999101,45657,22,2218,38,,230.5437352,,,0.601585999,35610,IND,,
Himachal Pradesh,India,20-07-2020 19:35,31.10002545,77.16659704,48355,2142,34901,14,,75.70562678,,,4.429738393,35611,IND,,
Jammu and Kashmir,India,20-07-2020 19:35,34.29995933,74.46665849,14599,159,11836,10,,727.5592403,,,1.089115693,58604,IND,,
Jharkhand,India,20-07-2020 19:35,23.80039349,86.41998572,13899,244,7811,0,,102.1510592,,,1.75552198,35614,IND,,
Karnataka,India,20-07-2020 19:35,12.57038129,76.91999711,95535,49,2716,123,,14.34162683,,,0.885275519,35615,IND,,
Kerala,India,20-07-2020 19:35,8.900372741,76.56999263,63772,1331,23065,1300,,94.38937937,,,2.087122875,35616,IND,,
Ladakh,India,20-07-2020 19:35,34.1012,77.3448,12480,42,5371,1,,34.95852862,,,0.336538462,35617,IND,,
Lakshadweep,India,20-07-2020 19:35,10.56257331,72.63686717,32086,1142,25006,0,,105.1194509,,,3.559184691,58605,IND,,
Madhya Pradesh,India,20-07-2020 19:35,21.30039105,76.13001949,11178,2,1003,2,,429.4740219,,,0.169779287,35618,IND,,
Maharashtra,India,20-07-2020 19:35,19.25023195,73.16017493,222600,721,15311,134,,26.47642225,,,3.190265487,35619,IND,,
Manipur,India,20-07-2020 19:35,24.79997072,93.95001705,310455,11854,169569,0,,252.1068325,,,3.818266738,35620,IND,,
Meghalaya,India,20-07-2020 19:35,25.57049217,91.8800142,1911,0,1213,1,,61.81375332,,,0,35621,IND,,
Mizoram,India,20-07-2020 19:35,23.71039899,92.72001461,4450,2,66,0,,13.36616459,,,0.444444444,35622,IND,,
Nagaland,India,20-07-2020 19:35,25.6669979,94.11657019,284,0,167,0,,22.9171979,,,0,35623,IND,,
Odisha,India,20-07-2020 19:35,19.82042971,85.90001746,988,0,445,84,,43.91706431,,,0,35624,IND,,
Puducherry,India,20-07-2020 19:35,11.93499371,79.83000037,17437,91,12453,73,,37.61514014,,,0.521878764,35625,IND,,
Punjab,India,20-07-2020 19:35,31.51997398,75.98000281,1999,28,1154,29,,141.4178001,,,1.40070035,35626,IND,,
Rajasthan,India,20-07-2020 19:35,26.44999921,74.63998124,10100,254,6535,5,,33.50875887,,,2.514851485,35627,IND,,
Sikkim,India,20-07-2020 19:35,27.3333303,88.6166475,90191,2083,65689,2,,81.98254521,,,2.309543081,58606,IND,,
Tamil Nadu,India,20-07-2020 19:35,12.92038576,79.15004187,29434,559,21730,58,,36.32361256,,,1.899164232,35628,IND,,
Telangana,India,20-07-2020 19:35,17.366,78.475,283,0,92,27,,40.99957841,,,0,35629,IND,,
Tripura,India,20-07-2020 19:35,23.83540428,91.27999914,45076,415,32438,0,,114.5144092,,,0.920667317,35631,IND,,
Uttar Pradesh,India,20-07-2020 19:35,27.59998069,78.05000565,2878,5,1759,18,,69.0201962,,,0.173731758,35632,IND,,
Uttarakhand,India,20-07-2020 19:35,30.32040895,78.05000565,42487,1112,24883,11,,42.65364652,,,2.617271165,35635,IND,,
West Bengal,India,20-07-2020 19:35,22.58039044,88.32994665,1163,0,150,50,,,,,0,35636,IND,,
